BROADCAST_SERVICE,LICENSEE,REGISTERED_ADDRESS
"Domestic Free Television Programme Service","Television Broadcasts Limited","TVB City, No.77, Chun Choi Street, Tseung Kwan O Industrial Estate, Kowloon, Hong Kong"
"Domestic Free Television Programme Service","HK Television Entertainment Company Limited","41/F, PCCW Tower, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong"
"Domestic Free Television Programme Service","Fantastic Television Limited","7th Floor, Cable TV Tower, 9 Hoi Shing Road, Tsuen Wan, Hong Kong"
"Domestic Pay Television Programme Service","PCCW Media Limited","41/F, PCCW Tower, Taikoo Place, 979 King's Road, Quarry Bay, Hong Kong"
"Non-domestic Television Programme Service","APT Satellite TV Development Limited ","22 Dai Kwai Street, Tai Po Industrial Estate, Tai Po, New Territories, Hong Kong"
"Non-domestic Television Programme Service","Starbucks (HK) Limited ","39th Floor, PCCW Tower, Taikoo Place, 979 King’s Road, Quarry Bay, Hong Kong"
"Non-domestic Television Programme Service","WarnerMedia Asia Pacific (HK) Limited (formerly known as Turner International Asia Pacific Limited)","23rd Floor, 41 Heung Yip Road, Wong Chuk Hang, Hong Kong"
"Non-domestic Television Programme Service","Sun Television Cybernetworks Enterprise Limited ","Flat 1201, 12/F., Sino Favour Centre, 1 On Yip Street, Chai Wan, Hong Kong"
"Non-domestic Television Programme Service","Auspicious Colour Limited ","Flat 7, M2/F, Haleson Building, 1 Jubilee Street, Central, Hong Kong"
"Non-domestic Television Programme Service","Phoenix Satellite Television Company Limited ","No. 2-6 Dai King Street, Tai Po Industrial Estate, Tai Po, N.T., Hong Kong"
"Non-domestic Television Programme Service","Hong Kong TV International Media Group Limited","Room 12, 18/F., Nan Fung Commercial Centre, 19 Lam Lok Street, Kowloon Bay, Hong Kong"
"Non-domestic Television Programme Service","One TV Media Global Limited ","Unit 2210A, 22/F, Skyline Tower, 39 Wang Kwong Road, Kowloon Bay, Kowloon"
"Non-domestic Television Programme Service","Star China Media Limited ","Unit 9A, MG Tower, 133 Hoi Bun Road, Kwun Tong, Kowloon, Hong Kong"
"Other Licensable Television Programme Service","Movielink (Hong Kong) Limited","Room 1007-1012, 10/F, K. Wah Centre, 191 Java Road, North Point, Hong Kong"
"Other Licensable Television Programme Service","Greenroll Limited","25th Floor, Jardine House, 1 Connaught Place, Central, Hong Kong"
"Other Licensable Television Programme Service","The Peninsula Hotel Limited","8th Floor, St. George's Building, 2 Ice House Street, Central, Hong Kong"
"Other Licensable Television Programme Service","Langham Hotels International Limited","33rd Floor, Great Eagle Centre, 23 Harbour Road, Wan Chai, Hong Kong"
"Other Licensable Television Programme Service","Ricobem Limited","Unit No. 2001, 20th Floor, 68 Yee Wo Street, Causeway Bay, Hong Kong"
"Other Licensable Television Programme Service","Kowloon Panda Hotel Limited","64th Floor, Hopewell Centre, 183 Queen's Road East, Wan Chai, Hong Kong"
"Other Licensable Television Programme Service","interTouch Company Limited (formerly known as DOCOMO interTouch Company Limited)","10th Floor, Bayfield Building, 99 Hennessy Road, Wanchai, Hong Kong"
"Other Licensable Television Programme Service","Gala Hotels Limited","Unit No. 2001, 20th Floor, 68 Yee Wo Street, Causeway Bay, Hong Kong"
"Other Licensable Television Programme Service","Shangri-La Hotel (Kowloon) Limited","64 Mody Road, Kowloon, Hong Kong"
"Other Licensable Television Programme Service","Bauhinia Hotels Limited","Unit No. 2001, 20th Floor, 68 Yee Wo Street, Causeway Bay, Hong Kong"
"Other Licensable Television Programme Service","Hotel Holdings Limited","Unit B, 1st Floor, Kowloon Centre, 33 Ashley Road, Kowloon"
"Other Licensable Television Programme Service","Cityability Limited","Unit No. 2001, 20th Floor, 68 Yee Wo Street, Causeway Bay, Hong Kong"
"Other Licensable Television Programme Service","Showers of Blessing Evangelistic Ministry (Hong Kong) Limited","Flat 801, 8/F., Lemmi Centre, 50 Hoi Yuen Road, Kwun Tong, Kowloon, Hong Kong"
"Other Licensable Television Programme Service","Hongkong International Theme Parks Limited","Hong Kong Disneyland Resort, Lantau Island, Hong Kong"
"Other Licensable Television Programme Service","Cordis Hong Kong Limited (formerly known as Langham Place Hotel (HK) Limited)","Suite 3001, 30th Floor, Great Eagle Centre, 23 Harbour Road, Wanchai, Hong Kong"
"Other Licensable Television Programme Service","Golden News Enterprises Limited","Room 1003, 10/F., Block A, East Sun Industrial Centre, 16 Shing Yip Street, Kwun Tong, Kowloon, Hong Kong"
"Other Licensable Television Programme Service","Swire Properties Hotel Management Limited","33/F, One Pacific Place, 88 Queensway, Hong Kong"
"Other Licensable Television Programme Service","MVI Systems Limited","11/F, Sitoy Tower, 164 Wai Yip Street, Kwun Tong, Kowloon"
"Other Licensable Television Programme Service","Guest Tek Asia Pacific Limited","Unit 107, Room 701, 7/F, Tower B, New Mandarin Plaza, No.14 Science Museum Road, Tsim Sha Tsui East, Kowloon, Hong Kong"
"Other Licensable Television Programme Service","Dynamic Streaming Service Limited","Unit 720, Level 7, Cyberport 1, 100 Cyberport Road, Hong Kong"
"Other Licensable Television Programme Service","Rediffusion Technology Services Limited","7/F, Cable TV Tower, 9 Hoi Shing Road, Tsuen Wan, Hong Kong"
"Sound Broadcasting Service","Hong Kong Commercial Broadcasting Company Limited","No. 3 Broadcast Drive, Kowloon, Hong Kong"
"Sound Broadcasting Service","Metro Broadcast Corporation Limited","48th Floor, Cheung Kong Center, 2 Queen's Road Central, Hong Kong"
