ISP_TYPE,LICENCE_NO,LICENSEE_NAME,ISSUE_DATE
SBO-3,0074,"KDDI Hong Kong Limited",2010-05-18
SBO-3,0110,"HKNet Company limited",2010-10-11
SBO-3,0116,"Global Link Information Services Limited",2009-12-30
SBO-3,0133,"Vision Network Limited",2010-04-12
SBO-3,0148,"Tiglion Consultancy Company Limited",2010-06-23
SBO-3,0165,"Internet Solutions Limited",2010-08-25
SBO-3,0180,"The Chinese University of Hong Kong",2010-10-04
SBO-3,0214,"IST Company Limited",2010-03-11
SBO-3,0226,"Telecom Digital Data Limited",2010-05-23
SBO-3,0229,"Resources Link Network Limited",2010-06-10
SBO-3,0230,"Lumen Technologies Hong Kong Limited",2014-06-19
SBO-3,0235,"PowerNet Company Limited",2010-06-28
SBO-3,0305,"Cyber Channel International Limited",2010-07-08
SBO-3,0309,"Infocan Computer (Hong Kong) Limited",2010-07-18
SBO-3,0312,"A.J. Frontier Company Limited",2010-08-05
SBO-3,0329,"New Sky Internet Limited",2010-10-14
SBO-3,0436,"CITIC Telecom International CPC Limited",2009-12-23
SBO-3,0438,"Deutsche Telekom Global Business Solutions China (HK) Limited",2009-12-23
SBO-3,0457,"iBasis (Hong Kong) Limited",2010-01-18
SBO-3,0460,"IXTech Limited",2010-01-18
SBO-3,0527,"Newsbook Limited",2010-05-12
SBO-3,0532,"ComNet Telecom International Limited",2010-05-19
SBO-3,0546,"TTG Global Limited",2010-06-28
SBO-3,0591,"Web Host Limited",2010-10-14
SBO-3,0598,"Diyixian.com Limited",2009-11-01
SBO-3,0602,"Micro 2000 Limited",2009-11-03
SBO-3,0603,"iAdvantage Limited",2009-11-06
SBO-3,0624,"AT&T Global Network Services Hong Kong Limited",2010-01-07
SBO-3,0625,"Fame Union Limited",2010-01-12
SBO-3,0636,"ET Net Limited",2010-02-14
SBO-3,0675,"SpeedCast Limited",2010-05-30
SBO-3,0682,"China Tietong HongKong Telecom Company Limited",2010-06-08
SBO-3,0688,"Reach Cable Networks Limited",2010-06-19
SBO-3,0712,"CITIC Telecom International (Data) Limited",2010-08-09
SBO-3,0719,"Pacific One Net Limited",2010-08-15
SBO-3,0723,"Towngas Telecomm. Fixed Network Limited",2010-08-23
SBO-3,0744,"Winstar Pacific Limited",2010-09-28
SBO-3,0770,"CTM (HK) Limited",2009-11-20
SBO-3,0777,"The Hongkong & Shanghai Banking Corporation Limited ",2009-12-02
SBO-3,0824,"OWT Asia Limited",2014-03-27
SBO-3,0839,"VDC Powerbase Hong Kong Data Centers Limited",2010-04-24
SBO-3,0841,"hkcolo Limited",2010-05-04
SBO-3,0851,"Sprint Hong Kong Limited",2010-06-01
SBO-3,0855,"Outblaze Limited",2010-06-12
SBO-3,0894,"China Enterprise Netcom Corporation Limited",2010-10-11
SBO-3,0901,"PCCW Global Limited",2009-11-15
SBO-3,0910,"IPGO.net Limited",2014-08-28
SBO-3,0920,"HKBN JOS Limited",2009-12-20
SBO-3,0932,"PCCW-HKT Business Services Limited",2010-02-21
SBO-3,0938,"Global Call Limited",2010-03-05
SBO-3,0951,"CHINA-HONGKONG TELECOM LIMITED",2010-04-29
SBO-3,0966,"Hong Kong Science and Tech. Parks Corp.",2010-06-04
SBO-3,0989,"ITO Express Limited",2010-09-17
SBO-3,1015,"CITIC Telecom International Limited",2009-12-02
SBO-3,1022,"GIN International Limited",2009-12-21
SBO-3,1029,"Systech Telecom Limited",2010-01-14
SBO-3,1034,"Global Logistics System (HK) Co. Limited",2010-02-07
SBO-3,1059,"Telecommunications & Technology Asia Limited",2010-04-25
SBO-3,1079,"CITY TELECOM (H.K.) LIMITED",2010-07-23
SBO-3,1087,"Layer One Limited",2010-09-05
SBO-3,1103,"HK Domain Limited",2009-11-20
SBO-3,1117,"Udomain Web Hosting Company Limited",2010-02-03
SBO-3,1138,"Hong Kong Internet (Holding) Limited",2010-05-11
SBO-3,1139,"Level 3 Communications Hong Kong Limited",2010-04-23
SBO-3,1147,"South China Telecommunications (HK) Limited",2010-07-06
SBO-3,1152,"Haitong International Information Systems Limited",2010-07-24
SBO-3,1166,"Lucky Tone Communications Limited",2010-10-18
SBO-3,1168,"Internap Network Services (HK) Limited",2010-10-23
SBO-3,1201,"ASIX Asia Satellite Internet Exchange Limited",2014-03-04
SBO-3,1210,"IMC NETWORKS LIMITED",2010-04-26
